,source ID,source name,source type,mapping type,target ID,target name,target type,mapping description
7359,G0016,APT29,group,uses,T1059.001,PowerShell,technique,APT29 has used encoded PowerShell scripts uploaded to CozyCar installations to download and install SeaDuke.
9109,G0016,APT29,group,uses,T1059.006,Python,technique,APT29 has developed malware variants written in Python.
10771,G0016,APT29,group,uses,T1547.001,Registry Run Keys / Startup Folder,technique,APT29 added Registry Run keys to establish persistence.
10704,G0016,APT29,group,uses,T1114.002,Remote Email Collection,technique,APT29 has collected emails from targeted mailboxes within a compromised Azure AD tenant.
10546,G0016,APT29,group,uses,T1053.005,Scheduled Task,technique,APT29 has used named and hijacked scheduled tasks to establish persistence.
7863,G0016,APT29,group,uses,T1027.002,Software Packing,technique,APT29 used UPX to pack files.
8963,G0016,APT29,group,uses,T1566.001,Spearphishing Attachment,technique,APT29 has used spearphishing emails with an attachment to deliver files with exploits to initial victims.
9340,G0016,APT29,group,uses,T1566.002,Spearphishing Link,technique,APT29 has used spearphishing with a link to trick victims into clicking on a link to a zip file containing malicious files.
2586,G0016,APT29,group,uses,T1566.003,Spearphishing via Service,technique,APT29 has used the legitimate mailing service Constant Contact to send phishing e-mails.
11219,G0016,APT29,group,uses,T1649,Steal or Forge Authentication Certificates,technique,APT29 has abused misconfigured AD CS certificate templates to impersonate admin users and create additional authentication certificates.
11288,G0016,APT29,group,uses,T1588.002,Tool,technique,"APT29 has obtained and used a variety of tools including Mimikatz, SDelete, Tor, meek, and Cobalt Strike."
15633,G0016,APT29,group,uses,T1199,Trusted Relationship,technique,"APT29 has compromised IT, cloud services, and managed services providers to gain broad access to multiple customers for subsequent operations."
4192,G0016,APT29,group,uses,T1078,Valid Accounts,technique,APT29 has used a compromised account to access an organization's VPN infrastructure.
12522,G0016,APT29,group,uses,T1595.002,Vulnerability Scanning,technique,APT29 has conducted widespread scanning of target environments to identify vulnerabilities for exploit.
13260,G0016,APT29,group,uses,T1583.006,Web Services,technique,"APT29 has registered algorithmically generated Twitter handles that are used for C2 by malware, such as HAMMERTOSS. APT29 has also used legitimate web services such as Dropbox and Constant Contact in their operations."
15438,G0016,APT29,group,uses,T1505.003,Web Shell,technique,APT29 has installed web shells on exploited Microsoft Exchange servers.
4614,G0016,APT29,group,uses,T1047,Windows Management Instrumentation,technique,APT29 used WMI to steal credentials and execute backdoors at a future time.
7213,G0016,APT29,group,uses,T1546.003,Windows Management Instrumentation Event Subscription,technique,APT29 has used WMI event subscriptions for persistence.
3488,G0022,APT3,group,uses,T1546.008,Accessibility Features,technique,APT3 replaces the Sticky Keys binary  C:\Windows\System32\sethc.exe for persistence.
11556,G0022,APT3,group,uses,T1098,Account Manipulation,technique,APT3 has been known to add created accounts to local admin groups to maintain elevated access.
5435,G0022,APT3,group,uses,T1560.001,Archive via Utility,technique,APT3 has used tools to compress data before exfilling it.
7899,G0022,APT3,group,uses,T1552.001,Credentials In Files,technique,APT3 has a tool that can locate credentials in files on the file system such as those from Firefox or Chrome.
8525,G0022,APT3,group,uses,T1555.003,Credentials from Web Browsers,technique,APT3 has used tools to dump passwords from browsers.
10095,G0022,APT3,group,uses,T1574.002,DLL Side-Loading,technique,APT3 has been known to side load DLLs with a valid version of Chrome with one of their tools.
7168,G0022,APT3,group,uses,T1005,Data from Local System,technique,APT3 will identify Microsoft Office documents on the victim's computer.
10813,G0022,APT3,group,uses,T1078.002,Domain Accounts,technique,APT3 leverages valid accounts after gaining credentials for use within the victim domain.
5704,G0022,APT3,group,uses,T1041,Exfiltration Over C2 Channel,technique,APT3 has a tool that exfiltrates data over the C2 channel.
11585,G0022,APT3,group,uses,T1203,Exploitation for Client Execution,technique,APT3 has exploited the Adobe Flash Player vulnerability CVE-2015-3113 and Internet Explorer vulnerability CVE-2014-1776.
8035,G0022,APT3,group,uses,T1090.002,External Proxy,technique,An APT3 downloader establishes SOCKS5 connections for its initial C2.
5795,G0022,APT3,group,uses,T1070.004,File Deletion,technique,APT3 has a tool that can delete files.
2016,G0022,APT3,group,uses,T1083,File and Directory Discovery,technique,APT3 has a tool that looks for files and directories on the local file system.
3324,G0022,APT3,group,uses,T1564.003,Hidden Window,technique,APT3 has been known to use  -WindowStyle Hidden to conceal PowerShell windows.
14230,G0022,APT3,group,uses,T1027.005,Indicator Removal from Tools,technique,APT3 has been known to remove indicators of compromise from tools.
1284,G0022,APT3,group,uses,T1105,Ingress Tool Transfer,technique,APT3 has a tool that can copy files to remote machines.
5274,G0022,APT3,group,uses,T1056.001,Keylogging,technique,APT3 has used a keylogging tool that records keystrokes in encrypted files.
2130,G0022,APT3,group,uses,T1003.001,LSASS Memory,technique,"APT3 has used a tool to dump credentials by injecting itself into lsass.exe and triggering with the argument ""dig."""
353,G0022,APT3,group,uses,T1087.001,Local Account,technique,"APT3 has used a tool that can obtain info about local and global group users, power users, and administrators."
12753,G0022,APT3,group,uses,T1136.001,Local Account,technique,"APT3 has been known to create or enable accounts, such as  support_388945a0 ."
9854,G0022,APT3,group,uses,T1074.001,Local Data Staging,technique,APT3 has been known to stage files for exfiltration in a single location.
9070,G0022,APT3,group,uses,T1204.001,Malicious Link,technique,APT3 has lured victims into clicking malicious links delivered through spearphishing.
7328,G0022,APT3,group,uses,T1104,Multi-Stage Channels,technique,"An APT3 downloader first establishes a SOCKS5 connection to 192.157.198[.]103 using TCP port 1913; once the server response is verified, it then requests a connection to 192.184.60[.]229 on TCP port 81."
7761,G0022,APT3,group,uses,T1095,Non-Application Layer Protocol,technique,An APT3 downloader establishes SOCKS5 connections for its initial C2.
11587,G0022,APT3,group,uses,T1027,Obfuscated Files or Information,technique,APT3 obfuscates files or information to help evade defensive measures.
11972,G0022,APT3,group,uses,T1110.002,Password Cracking,technique,APT3 has been known to brute force password hashes to be able to leverage plain text credentials.
11211,G0022,APT3,group,uses,T1069,Permission Groups Discovery,technique,APT3 has a tool that can enumerate the permissions associated with Windows groups.
10179,G0022,APT3,group,uses,T1059.001,PowerShell,technique,APT3 has used PowerShell on victim systems to download and run payloads after exploitation.
951,G0022,APT3,group,uses,T1057,Process Discovery,technique,APT3 has a tool that can list out currently running processes.
14188,G0022,APT3,group,uses,T1547.001,Registry Run Keys / Startup Folder,technique,APT3 places scripts in the startup folder for persistence.
10309,G0022,APT3,group,uses,T1021.001,Remote Desktop Protocol,technique,APT3 enables the Remote Desktop Protocol for persistence. APT3 has also interacted with compromised systems to browse and copy files through RDP sessions.
11714,G0022,APT3,group,uses,T1018,Remote System Discovery,technique,APT3 has a tool that can detect the existence of remote systems.
1132,G0022,APT3,group,uses,T1218.011,Rundll32,technique,APT3 has a tool that can run DLLs.
9253,G0022,APT3,group,uses,T1021.002,SMB/Windows Admin Shares,technique,APT3 will copy files over to Windows Admin Shares (like ADMIN$) as part of lateral movement.
6121,G0022,APT3,group,uses,T1053.005,Scheduled Task,technique,"An APT3 downloader creates persistence by creating the following scheduled task:  schtasks /create /tn ""mysc"" /tr C:\Users\Public\test.exe /sc ONLOGON /ru ""System"" ."
10398,G0022,APT3,group,uses,T1027.002,Software Packing,technique,APT3 has been known to pack their tools. 
13668,G0022,APT3,group,uses,T1566.002,Spearphishing Link,technique,APT3 has sent spearphishing emails containing malicious links.
7415,G0022,APT3,group,uses,T1082,System Information Discovery,technique,APT3 has a tool that can obtain information about the local system.
14481,G0022,APT3,group,uses,T1016,System Network Configuration Discovery,technique,"A keylogging tool used by APT3 gathers network information from the victim, including the MAC address, IP address, WINS, DHCP server, and gateway."
10750,G0022,APT3,group,uses,T1049,System Network Connections Discovery,technique,APT3 has a tool that can enumerate current network connections.
3007,G0022,APT3,group,uses,T1033,System Owner/User Discovery,technique,"An APT3 downloader uses the Windows command  ""cmd.exe"" /C whoami to verify that it is running with the elevated privileges of “System.”"
4710,G0022,APT3,group,uses,T1059.003,Windows Command Shell,technique,"An APT3 downloader uses the Windows command  ""cmd.exe"" /C whoami . The group also uses a tool to execute commands on remote computers."
7557,G0022,APT3,group,uses,T1543.003,Windows Service,technique,APT3 has a tool that creates a new service for persistence.
11539,G0013,APT30,group,uses,T1204.002,Malicious File,technique,APT30 has relied on users to execute malicious file attachments delivered via spearphishing emails.
10482,G0013,APT30,group,uses,T1566.001,Spearphishing Attachment,technique,APT30 has used spearphishing emails with malicious DOC attachments.
3353,G0050,APT32,group,uses,T1560,Archive Collected Data,technique,APT32's backdoor has used LZMA compression and RC4 encryption before exfiltration.
12990,G0050,APT32,group,uses,T1027.001,Binary Padding,technique,APT32 includes garbage code to mislead anti-malware software and researchers.
1324,G0050,APT32,group,uses,T1070.001,Clear Windows Event Logs,technique,APT32 has cleared select event log entries.
7741,G0050,APT32,group,uses,T1027.010,Command Obfuscation,technique,APT32 has used the `Invoke-Obfuscation` framework to obfuscate their PowerShell.
11044,G0050,APT32,group,uses,T1059,Command and Scripting Interpreter,technique,APT32 has used COM scriptlets to download Cobalt Strike beacons.	
3924,G0050,APT32,group,uses,T1552.002,Credentials in Registry,technique,APT32 used Outlook Credential Dumper to harvest credentials stored in Windows registry.
15453,G0050,APT32,group,uses,T1574.002,DLL Side-Loading,technique,"APT32 ran legitimately-signed executables from Symantec and McAfee which load a malicious DLL. The group also side-loads its backdoor by dropping a library and a legitimate, signed executable (AcroTranscoder)."
4946,G0050,APT32,group,uses,T1583.001,Domains,technique,APT32 has set up and operated websites to gather information and deliver malware.
11677,G0050,APT32,group,uses,T1189,Drive-by Compromise,technique,APT32 has infected victims by tricking them into visiting compromised watering hole websites.
11665,G0050,APT32,group,uses,T1608.004,Drive-by Target,technique,"APT32 has stood up websites containing numerous articles and content scraped from the Internet to make them appear legitimate, but some of these pages include malicious JavaScript to profile the potential victim or infect them via a fake software update."
12887,G0050,APT32,group,uses,T1589.002,Email Addresses,technique,APT32 has collected e-mail addresses for activists and bloggers in order to target them with spyware.
2260,G0050,APT32,group,uses,T1041,Exfiltration Over C2 Channel,technique,APT32's backdoor has exfiltrated data using the already opened channel with its C&C server.
1340,G0050,APT32,group,uses,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,technique,APT32's backdoor can exfiltrate data by encoding it in the subdomain field of DNS packets.
14820,G0050,APT32,group,uses,T1203,Exploitation for Client Execution,technique,APT32 has used RTF document that includes an exploit to execute malicious code. (CVE-2017-11882)
14960,G0050,APT32,group,uses,T1068,Exploitation for Privilege Escalation,technique,APT32 has used CVE-2016-7255 to escalate privileges.
10727,G0050,APT32,group,uses,T1070.004,File Deletion,technique,APT32's macOS backdoor can receive a “delete” command.
1242,G0050,APT32,group,uses,T1083,File and Directory Discovery,technique,"APT32's backdoor possesses the capability to list files and directories on a machine. 	
"
3817,G0050,APT32,group,uses,T1027.011,Fileless Storage,technique,APT32's backdoor has stored its configuration in a registry key.
4777,G0050,APT32,group,uses,T1589,Gather Victim Identity Information,technique,APT32 has conducted targeted surveillance against activists and bloggers.
15078,G0050,APT32,group,uses,T1564.001,Hidden Files and Directories,technique,APT32's macOS backdoor hides the clientID file via a chflags function.
7495,G0050,APT32,group,uses,T1564.003,Hidden Window,technique,APT32 has used the WindowStyle parameter to conceal PowerShell windows.  
9814,G0050,APT32,group,uses,T1105,Ingress Tool Transfer,technique,APT32 has added JavaScript to victim websites to download additional frameworks that profile and compromise website visitors.
14761,G0050,APT32,group,uses,T1059.007,JavaScript,technique,APT32 has used JavaScript for drive-by downloads and C2 communications.
7995,G0050,APT32,group,uses,T1056.001,Keylogging,technique,APT32 has abused the PasswordChangeNotify to monitor for and capture account password changes.
13831,G0050,APT32,group,uses,T1003.001,LSASS Memory,technique,APT32 used Mimikatz and customized versions of Windows Credential Dumper to harvest credentials.
8263,G0050,APT32,group,uses,T1570,Lateral Tool Transfer,technique,APT32 has deployed tools after moving laterally using administrative accounts.	
8954,G0050,APT32,group,uses,T1222.002,Linux and Mac File and Directory Permissions Modification,technique,APT32's macOS backdoor changes the permission of the file it wants to execute to 755.
7519,G0050,APT32,group,uses,T1087.001,Local Account,technique,APT32 enumerated administrative users using the commands  net localgroup administrators .
13296,G0050,APT32,group,uses,T1078.003,Local Accounts,technique,APT32 has used legitimate local admin account credentials.
1899,G0050,APT32,group,uses,T1071.003,Mail Protocols,technique,APT32 has used email for C2 via an Office macro.
15401,G0050,APT32,group,uses,T1204.002,Malicious File,technique,APT32 has attempted to lure users to execute a malicious dropper delivered via a spearphishing attachment.
13393,G0050,APT32,group,uses,T1204.001,Malicious Link,technique,APT32 has lured targets to download a Cobalt Strike beacon by including a malicious link within spearphishing emails.
2658,G0050,APT32,group,uses,T1036.004,Masquerade Task or Service,technique,"APT32 has used hidden or non-printing characters to help masquerade service names, such as appending a Unicode no-break space character to a legitimate service name. APT32 has also impersonated the legitimate Flash installer file name ""install_flashplayer.exe""."
6892,G0050,APT32,group,uses,T1036,Masquerading,technique,APT32 has disguised a Cobalt Strike beacon as a Flash Installer.
3460,G0050,APT32,group,uses,T1036.005,Match Legitimate Name or Location,technique,APT32 has renamed a NetCat binary to kb-10233.exe to masquerade as a Windows update. APT32 has also renamed a Cobalt Strike beacon payload to install_flashplayers.exe. 
9298,G0050,APT32,group,uses,T1112,Modify Registry,technique,APT32's backdoor has modified the Windows Registry to store the backdoor's configuration. 	
13311,G0050,APT32,group,uses,T1218.005,Mshta,technique,APT32 has used mshta.exe for code execution.
1326,G0050,APT32,group,uses,T1564.004,NTFS File Attributes,technique,APT32 used NTFS alternate data streams to hide their payloads.
8637,G0050,APT32,group,uses,T1046,Network Service Discovery,technique,"APT32 performed network scanning on the network to search for open ports, services, OS finger-printing, and other vulnerabilities."
8516,G0050,APT32,group,uses,T1135,Network Share Discovery,technique,"APT32 used the  net view command to show all shares available, including the administrative shares such as  C$ and  ADMIN$ ."
5009,G0050,APT32,group,uses,T1571,Non-Standard Port,technique,An APT32 backdoor can use HTTP over a non-standard TCP port (e.g 14146) which is specified in the backdoor configuration.
771,G0050,APT32,group,uses,T1003,OS Credential Dumping,technique,APT32 used GetPassword_x64 to harvest credentials.
8592,G0050,APT32,group,uses,T1027,Obfuscated Files or Information,technique,"APT32 has performed code obfuscation, including encoding payloads using Base64 and using a framework called ""Dont-Kill-My-Cat (DKMC). APT32 also encrypts the library used for network exfiltration with AES-256 in CBC mode in their macOS backdoor."
6021,G0050,APT32,group,uses,T1137,Office Application Startup,technique,APT32 have replaced Microsoft Outlook's VbaProject.OTM file to install a backdoor macro for persistence.
11087,G0050,APT32,group,uses,T1550.002,Pass the Hash,technique,APT32 has used pass the hash for lateral movement.
6784,G0050,APT32,group,uses,T1550.003,Pass the Ticket,technique,APT32 successfully gained remote access by using pass the ticket.
9975,G0050,APT32,group,uses,T1059.001,PowerShell,technique,"APT32 has used PowerShell-based tools, PowerShell one-liners, and shellcode loaders for execution."
2095,G0050,APT32,group,uses,T1055,Process Injection,technique,APT32 malware has injected a Cobalt Strike beacon into Rundll32.exe.
5002,G0050,APT32,group,uses,T1216.001,PubPrn,technique,"APT32 has used PubPrn.vbs within execution scripts to execute malware, possibly bypassing defenses."
910,G0050,APT32,group,uses,T1012,Query Registry,technique,APT32's backdoor can query the Windows Registry to gather system information. 
3718,G0050,APT32,group,uses,T1547.001,Registry Run Keys / Startup Folder,technique,"APT32 established persistence using Registry Run keys, both to execute PowerShell and VBS scripts as well as to execute their backdoor directly."
1318,G0050,APT32,group,uses,T1218.010,Regsvr32,technique,APT32 created a Scheduled Task/Job that used regsvr32.exe to execute a COM scriptlet that dynamically downloaded a backdoor and injected it into memory. The group has also used regsvr32 to run their backdoor. 
8247,G0050,APT32,group,uses,T1018,Remote System Discovery,technique,"APT32 has enumerated DC servers using the command  net group ""Domain Controllers"" /domain . The group has also used the  ping command."
7875,G0050,APT32,group,uses,T1036.003,Rename System Utilities,technique,APT32 has moved and renamed pubprn.vbs to a .txt file to avoid detection.
13345,G0050,APT32,group,uses,T1218.011,Rundll32,technique,APT32 malware has used rundll32.exe to execute an initial infection process.
5000,G0050,APT32,group,uses,T1021.002,SMB/Windows Admin Shares,technique,APT32 used Net to use Windows' hidden network shares to copy their tools to remote machines for execution.
2235,G0050,APT32,group,uses,T1053.005,Scheduled Task,technique,APT32 has used scheduled tasks to persist on victim systems.
6929,G0050,APT32,group,uses,T1569.002,Service Execution,technique,APT32's backdoor has used Windows services as a way to execute its malicious payload. 
2286,G0050,APT32,group,uses,T1585.001,Social Media Accounts,technique,APT32 has set up Facebook pages in tandem with fake websites.
1031,G0050,APT32,group,uses,T1072,Software Deployment Tools,technique,APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task.
2699,G0050,APT32,group,uses,T1566.001,Spearphishing Attachment,technique,APT32 has sent spearphishing emails with a malicious executable disguised as a document or spreadsheet.
3286,G0050,APT32,group,uses,T1566.002,Spearphishing Link,technique,APT32 has sent spearphishing emails containing malicious links.
11627,G0050,APT32,group,uses,T1598.003,Spearphishing Link,technique,APT32 has used malicious links to direct users to web pages designed to harvest credentials.
3049,G0050,APT32,group,uses,T1082,System Information Discovery,technique,"APT32 has collected the OS version and computer name from victims. One of the group's backdoors can also query the Windows Registry to gather system information, and another macOS backdoor performs a fingerprint of the machine on its first connection to the C&C server. APT32 executed shellcode to identify the name of the infected host."
15897,G0050,APT32,group,uses,T1016,System Network Configuration Discovery,technique,APT32 used the  ipconfig /all command to gather the IP address from the system.
6272,G0050,APT32,group,uses,T1049,System Network Connections Discovery,technique,APT32 used the  netstat -anpo tcp command to display TCP connections on the victim's machine.
15215,G0050,APT32,group,uses,T1033,System Owner/User Discovery,technique,APT32 collected the victim's username and executed the  whoami command on the victim's machine. APT32 executed shellcode to collect the username on the victim's machine. 
2883,G0050,APT32,group,uses,T1070.006,Timestomp,technique,"APT32 has used scheduled task raw XML with a backdated timestamp of June 2, 2016. The group has also set the creation time of the files dropped by the second stage of the exploit to match the creation time of kernel32.dll. Additionally, APT32 has used a random value to modify the timestamp of the file storing the clientID."
14547,G0050,APT32,group,uses,T1588.002,Tool,technique,"APT32 has obtained and used tools such as Mimikatz and Cobalt Strike, and a variety of other open-source tools from GitHub."
515,G0050,APT32,group,uses,T1608.001,Upload Malware,technique,"APT32 has hosted malicious payloads in Dropbox, Amazon S3, and Google Drive for use during targeting."
1933,G0050,APT32,group,uses,T1059.005,Visual Basic,technique,"APT32 has used macros, COM scriptlets, and VBS scripts. "
13712,G0050,APT32,group,uses,T1071.001,Web Protocols,technique,APT32 has used JavaScript that communicates over HTTP or HTTPS to attacker controlled domains to download additional frameworks. The group has also used downloaded encrypted payloads over HTTP.
3946,G0050,APT32,group,uses,T1102,Web Service,technique,"APT32 has used Dropbox, Amazon S3, and Google Drive to host malicious downloads."
7526,G0050,APT32,group,uses,T1583.006,Web Services,technique,"APT32 has set up Dropbox, Amazon S3, and Google Drive to host malicious downloads."
5734,G0050,APT32,group,uses,T1505.003,Web Shell,technique,APT32 has used Web shells to maintain access to victim websites.
8606,G0050,APT32,group,uses,T1059.003,Windows Command Shell,technique,APT32 has used cmd.exe for execution. 
3781,G0050,APT32,group,uses,T1047,Windows Management Instrumentation,technique,APT32 used WMI to deploy their tools on remote machines and to gather information about the Outlook process.
6543,G0050,APT32,group,uses,T1543.003,Windows Service,technique,APT32 modified Windows Services to ensure PowerShell scripts were loaded on the system. APT32 also creates a Windows service to establish persistence.
6766,G0064,APT33,group,uses,T1560.001,Archive via Utility,technique,"APT33 has used WinRAR to compress data prior to exfil.	
"
13948,G0064,APT33,group,uses,T1003.005,Cached Domain Credentials,technique,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
1131,G0064,APT33,group,uses,T1078.004,Cloud Accounts,technique,APT33 has used compromised Office 365 accounts in tandem with Ruler in an attempt to gain control of endpoints.
5622,G0064,APT33,group,uses,T1552.001,Credentials In Files,technique,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
13585,G0064,APT33,group,uses,T1555,Credentials from Password Stores,technique,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
6093,G0064,APT33,group,uses,T1555.003,Credentials from Web Browsers,technique,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
6321,G0064,APT33,group,uses,T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,technique,APT33 has used FTP to exfiltrate files (separately from the C2 channel).
10585,G0064,APT33,group,uses,T1203,Exploitation for Client Execution,technique,"APT33 has attempted to exploit a known vulnerability in WinRAR (CVE-2018-20250), and attempted to gain remote code execution via a security bypass vulnerability (CVE-2017-11774)."
3920,G0064,APT33,group,uses,T1068,Exploitation for Privilege Escalation,technique,APT33 has used a publicly available exploit for CVE-2017-0213 to escalate privileges on a local system.
14405,G0064,APT33,group,uses,T1552.006,Group Policy Preferences,technique,APT33 has used a variety of publicly available tools like Gpppassword to gather credentials.
2374,G0064,APT33,group,uses,T1105,Ingress Tool Transfer,technique,"APT33 has downloaded additional files and programs from its C2 server.	
"
6727,G0064,APT33,group,uses,T1003.004,LSA Secrets,technique,APT33 has used a variety of publicly available tools like LaZagne to gather credentials.
12623,G0064,APT33,group,uses,T1003.001,LSASS Memory,technique,"APT33 has used a variety of publicly available tools like LaZagne, Mimikatz, and ProcDump to dump credentials."
5699,G0064,APT33,group,uses,T1204.002,Malicious File,technique,APT33 has used malicious e-mail attachments to lure victims into executing malware.
9325,G0064,APT33,group,uses,T1204.001,Malicious Link,technique,APT33 has lured users to click links to malicious HTML applications delivered via spearphishing emails.
5467,G0064,APT33,group,uses,T1040,Network Sniffing,technique,APT33 has used SniffPass to collect credentials by sniffing network traffic.
3628,G0064,APT33,group,uses,T1571,Non-Standard Port,technique,APT33 has used HTTP over TCP ports 808 and 880 for command and control.
10093,G0064,APT33,group,uses,T1027,Obfuscated Files or Information,technique,APT33 has used base64 to encode payloads.
3154,G0064,APT33,group,uses,T1110.003,Password Spraying,technique,APT33 has used password spraying to gain access to target systems.
10051,G0064,APT33,group,uses,T1059.001,PowerShell,technique,APT33 has utilized PowerShell to download files from the C2 server and run various scripts. 
13552,G0064,APT33,group,uses,T1547.001,Registry Run Keys / Startup Folder,technique,"APT33 has deployed a tool known as DarkComet to the Startup folder of a victim, and used Registry run keys to gain persistence."
5325,G0064,APT33,group,uses,T1053.005,Scheduled Task,technique,APT33 has created a scheduled task to execute a .vbe file multiple times a day.
9858,G0064,APT33,group,uses,T1566.001,Spearphishing Attachment,technique,APT33 has sent spearphishing e-mails with archive attachments.
5461,G0064,APT33,group,uses,T1566.002,Spearphishing Link,technique,APT33 has sent spearphishing emails containing links to .hta files.
6930,G0064,APT33,group,uses,T1132.001,Standard Encoding,technique,APT33 has used base64 to encode command and control traffic.
9182,G0064,APT33,group,uses,T1573.001,Symmetric Cryptography,technique,APT33 has used AES for encryption of command and control traffic.
13850,G0064,APT33,group,uses,T1588.002,Tool,technique,APT33 has obtained and leveraged publicly-available tools for early intrusion activities.
1222,G0064,APT33,group,uses,T1078,Valid Accounts,technique,APT33 has used valid accounts for initial access and privilege escalation.
9568,G0064,APT33,group,uses,T1059.005,Visual Basic,technique,APT33 has used VBScript to initiate the delivery of payloads.
6397,G0064,APT33,group,uses,T1071.001,Web Protocols,technique,APT33 has used HTTP for command and control.
12029,G0064,APT33,group,uses,T1546.003,Windows Management Instrumentation Event Subscription,technique,APT33 has attempted to use WMI event subscriptions to establish persistence on compromised hosts.
8987,G0067,APT37,group,uses,T1123,Audio Capture,technique,APT37 has used an audio capturing utility known as SOUNDWAVE that captures microphone input.
7878,G0067,APT37,group,uses,T1102.002,Bidirectional Communication,technique,"APT37 leverages social networking sites and cloud platforms (AOL, Twitter, Yandex, Mediafire, pCloud, Dropbox, and Box) for C2."
8730,G0067,APT37,group,uses,T1548.002,Bypass User Account Control,technique,APT37 has a function in the initial dropper to bypass Windows UAC in order to execute the next payload with higher privileges.
4983,G0067,APT37,group,uses,T1059,Command and Scripting Interpreter,technique,APT37 has used Ruby scripts to execute payloads.
5148,G0067,APT37,group,uses,T1555.003,Credentials from Web Browsers,technique,APT37 has used a credential stealer known as ZUMKONG that can harvest usernames and passwords stored in browsers.
9790,G0067,APT37,group,uses,T1005,Data from Local System,technique,APT37 has collected data from victims' local systems.
15678,G0067,APT37,group,uses,T1561.002,Disk Structure Wipe,technique,APT37 has access to destructive malware that is capable of overwriting a machine's Master Boot Record (MBR).
2082,G0067,APT37,group,uses,T1189,Drive-by Compromise,technique,"APT37 has used strategic web compromises, particularly of South Korean websites, to distribute malware. The group has also used torrent file-sharing sites to more indiscriminately disseminate malware to victims. As part of their compromises, the group has used a Javascript based profiler called RICECURRY to profile a victim's web browser and deliver malicious code accordingly."
3489,G0067,APT37,group,uses,T1559.002,Dynamic Data Exchange,technique,APT37 has used Windows DDE for execution of commands and a malicious VBS.
4472,G0067,APT37,group,uses,T1203,Exploitation for Client Execution,technique,"APT37 has used exploits for Flash Player (CVE-2016-4117, CVE-2018-4878), Word (CVE-2017-0199), Internet Explorer (CVE-2020-1380 and CVE-2020-26411), and Microsoft Edge (CVE-2021-26411) for execution."
14917,G0067,APT37,group,uses,T1105,Ingress Tool Transfer,technique,APT37 has downloaded second stage malware from compromised websites.
8611,G0067,APT37,group,uses,T1036.001,Invalid Code Signature,technique,APT37 has signed its malware with an invalid digital certificates listed as “Tencent Technology (Shenzhen) Company Limited.”
14156,G0067,APT37,group,uses,T1204.002,Malicious File,technique,APT37 has sent spearphishing attachments attempting to get a user to open them.
7521,G0067,APT37,group,uses,T1106,Native API,technique,"APT37 leverages the Windows API calls: VirtualAlloc(), WriteProcessMemory(), and CreateRemoteThread() for process injection."
6202,G0067,APT37,group,uses,T1027,Obfuscated Files or Information,technique,APT37 obfuscates strings and payloads.
12387,G0067,APT37,group,uses,T1120,Peripheral Device Discovery,technique,"APT37 has a Bluetooth device harvester, which uses Windows Bluetooth APIs to find information on connected Bluetooth devices. "
8676,G0067,APT37,group,uses,T1057,Process Discovery,technique,APT37's Freenki malware lists running processes using the Microsoft Windows API.
11806,G0067,APT37,group,uses,T1055,Process Injection,technique,"APT37 injects its malware variant, ROKRAT, into the cmd.exe process."
8343,G0067,APT37,group,uses,T1059.006,Python,technique,APT37 has used Python scripts to execute payloads.
13577,G0067,APT37,group,uses,T1547.001,Registry Run Keys / Startup Folder,technique,APT37's has added persistence via the Registry key  HKCU\Software\Microsoft\CurrentVersion\Run\ .
8811,G0067,APT37,group,uses,T1053.005,Scheduled Task,technique,APT37 has created scheduled tasks to run malicious scripts on a compromised host.
3861,G0067,APT37,group,uses,T1566.001,Spearphishing Attachment,technique,APT37 delivers malware using spearphishing emails with malicious HWP attachments.
14661,G0067,APT37,group,uses,T1027.003,Steganography,technique,APT37 uses steganography to send images to users that are embedded with shellcode.
1760,G0067,APT37,group,uses,T1082,System Information Discovery,technique,"APT37 collects the computer name, the BIOS model, and execution path."
2987,G0067,APT37,group,uses,T1033,System Owner/User Discovery,technique,APT37 identifies the victim username.
5988,G0067,APT37,group,uses,T1529,System Shutdown/Reboot,technique,APT37 has used malware that will issue the command  shutdown /r /t 1 to reboot a system after wiping its MBR.
10339,G0067,APT37,group,uses,T1059.005,Visual Basic,technique,APT37 executes shellcode and a VBA script to decode Base64 strings.
15913,G0067,APT37,group,uses,T1071.001,Web Protocols,technique,APT37 uses HTTPS to conceal C2 communications.
497,G0067,APT37,group,uses,T1059.003,Windows Command Shell,technique,APT37 has used the command-line interface.
3414,G0082,APT38,group,uses,T1217,Browser Information Discovery,technique,"APT38 has collected browser bookmark information to learn more about compromised hosts, obtain personal information about users, and acquire details about internal network resources."
1870,G0082,APT38,group,uses,T1110,Brute Force,technique,APT38 has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.
2085,G0082,APT38,group,uses,T1070.001,Clear Windows Event Logs,technique,APT38 clears Window Event logs and Sysmon logs from the system.
